qid,pid
0,1059328
0,1961579
0,1968318
0,1960536
0,1953914
1,1970290
2,1954320
3,1964386
4,1956270
5,1955857
5,1964503
5,1969831
5,1960977
5,1964347
5,1970386
5,1964623
7,1976285
7,1964511
7,1956692
7,1969210
8,1960524
9,1959043
9,1960524
9,727228
9,1221576
10,1961227
11,1966861
11,1963223
12,1963901
12,1966712
12,609402
13,1957965
13,1960676
13,403511
14,1961200
14,1959094
14,1970379
14,957487
15,1960748
15,873201
15,1961098
15,1964447
15,1509141
15,1174728
16,1958736
17,1955652
18,1967301
18,1962157
18,1970369
18,1964459
18,1967051
18,1962343
18,1956144
18,1959272
18,1966232
19,1957320
19,240378
19,1963124
20,1961533
20,1964011
20,1966263
20,234375
21,1962005
22,1964591
22,1975967
22,1963349
23,1954434
23,1970656
23,1956918
23,1968260
23,1959437
25,1965209
25,1959751
25,1957856
25,1956527
25,1968598
26,1966795
26,1955920
26,1961949
26,1964828
26,1960903
26,1966546
27,1966795
27,1955920
27,1961949
28,1966321
29,1965995
29,1471384
29,1954936
30,1976349
30,1967593
30,1964628
30,1959469
30,1959783
30,1970400
30,1954341
30,1960643
31,1968971
32,1966900
32,1180673
32,1957319
32,1966892
32,1969570
32,1970400
33,1968659
33,1959189
33,1965325
33,1957686
33,1969528
34,1968044
34,1968632
37,1961219
37,1970298
37,1961284
38,1967630
39,1959225
40,1964115
40,1959028
40,1963540
41,1955085
42,1924550
42,1406722
43,1975822
43,1959106
43,1976048
43,1968541
43,1968907
43,1956775
43,1967423
44,1959743
44,1968242
44,1970195
44,1960596
44,1953732
44,1968386
44,1954494
45,1629757
45,1965235
46,1178952
46,1958733
46,999660
46,1563476
48,1957920
48,1967251
49,1967943
49,1960061
49,1965794
49,1970866
49,1954755
49,1954712
49,1968061
49,1963313
51,1967448
51,1964936
51,1969986
52,74692
54,1960027
54,1960209
55,1970850
56,1965505
56,1966797
57,1970571
57,1970034
59,1954930
60,1962363
60,1959691
60,1975989
60,917187
60,1960798
60,1956489
61,1443525
61,718381
61,1737499
61,524349
62,1976269
62,1957883
64,599593
65,1959586
65,1964629
65,1957656
66,1969667
66,1962140
66,1968514
67,1957816
67,1953701
67,1963793
68,1956202
70,411018
70,1278964
70,1927509
70,1228334
70,991917
70,829422
72,1964782
73,1970124
73,1962571
73,1961335
73,1963184
73,1956905
73,1967567
75,1965022
76,1954934
76,1965976
77,1953845
77,1958199
78,1968071
79,1964936
79,1958832
81,1970380
81,1955380
81,1969586
82,1959956
82,1958566
82,1965375
82,1968239
82,1958084
83,1957301
83,1954182
83,1955985
84,1965006
84,1961683
84,1958988
85,1956739
86,1956826
86,1970551
86,1968530
86,1956277
86,1970184
86,1151259
86,947443
87,1966387
87,1976057
87,1960401
87,1965735
87,1958729
87,1955820
88,1957431
88,1969902
88,1161415
88,914151
89,1976139
90,1957281
90,1955212
90,1963450
90,1955500
90,1960294
90,1956441
90,1963625
90,1958050
90,1958418
92,1970698
92,1954860
92,1960341
93,1969898
93,568867
93,1956711
93,1955305
93,1970719
94,1959728
95,1975717
96,1968908
96,1967954
99,1968238
99,1964936
101,1955508
101,1962533
101,1956186
101,1968608
101,616953
101,1965989
102,1959672
102,1968678
103,1969586
103,1970380
104,1956826
104,1953716
104,1953767
104,1967861
104,1962280
105,1955543
105,1967271
106,1135675
106,882121
108,1969286
108,1966255
108,1968530
108,1956277
108,1969408
108,1976009
109,1911207
110,181684
110,1519379
110,1962932
110,1960791
110,1539076
110,527973
110,1959543
110,1009269
111,1960807
111,1957849
112,1958464
113,1960215
113,1975877
113,1963953
113,1962246
113,1970600
114,1961358
114,1065869
115,1954695
116,1967875
117,1962387
120,1959186
120,1975867
120,1955777
120,1958164
120,1964833
121,1969638
121,1953890
122,1963872
122,1968981
122,1970563
123,739532
123,328059
124,1197813
124,1162971
125,954143
126,1968450
126,1443525
127,1324576
127,1961228
127,1970307
127,1961478
128,1294277
128,1253022
130,1967534
131,1970730
131,1967671
132,959051
132,1079137
133,58312
133,1961391
133,1957587
133,1962074
134,1955841
136,1963616
136,1955060
136,1956432
137,1969217
137,1966265
138,1970156
138,1956559
138,1960807
139,1976199
139,199037
139,1960265
139,1960005
139,1958943
139,1955144
139,1931412
140,1953775
140,1954342
141,1955351
141,1970735
141,1963322
142,1954260
142,1957048
142,1968993
142,1957234
143,1965650
143,1957496
147,1954111
147,1959166
147,1969480
147,1953947
147,1955313
147,1968779
148,981528
149,1964156
149,1967873
149,1967396
150,1671803
150,812180
151,1963073
152,1968839
153,1959952
154,1317795
154,1669747
154,1957846
154,1957046
154,556700
154,1964083
154,1969650
154,1959115
154,1970578
154,1953953
154,1962481
155,627343
155,122484
156,1957887
156,1976011
156,1961035
156,1960070
156,1954722
156,1960870
156,1969005
156,1966289
156,1953795
156,1967740
156,1962009
157,1447841
159,1966584
159,1967490
159,1965502
159,1957672
159,1970250
159,1961003
159,1958196
159,1969686
159,1959912
160,1966540
160,1967154
160,1958052
160,1968043
161,1150030
161,1954892
162,1960538
162,1482004
162,1932395
162,1954445
162,1964993
162,1418430
163,1976087
163,1965352
164,1965270
165,1964012
165,1967909
165,1967096
165,1968868
165,1966168
165,1960484
165,1963116
165,1960936
165,1956572
168,1965410
168,1959107
169,1959869
169,1963991
169,1955120
169,1960564
169,1964175
170,1955321
172,1967513
172,1966440
172,1968877
172,1965131
174,1368710
175,1961207
176,1969548
176,1636482
176,1968344
177,1967537
177,1533285
178,1368710
181,1958177
181,1959104
182,1962750
183,1260519
183,1052559
183,1957937
183,1956284
183,1958814
184,959384
185,1953976
186,77126
186,1966132
186,1970469
187,1963899
188,1964461
188,1958754
189,1954683
191,1961000
191,1975766
191,1953870
191,1962810
191,1962359
191,1967745
191,1958050
191,1954120
191,1959246
191,1969088
191,1959487
191,1965072
191,1957945
191,1966061
191,1968407
191,1960433
192,1963247
193,1954366
193,1967383
193,959384
193,1566963
195,1960100
195,1957326
195,1964290
195,1963377
196,1962282
197,1961100
198,1962438
199,1965815
199,1959116
200,1419121
201,1970672
203,1954739
203,1008315
203,1962545
203,1964687
204,1959809
204,1969870
206,1965569
206,1957255
207,1965260
208,1967149
209,1966636
210,1967579
210,1975843
211,1955122
211,1975997
211,1964275
212,1964497
212,1959935
212,1960191
212,1960146
213,1955125
213,1960841
215,1964143
216,1001851
216,1599548
216,1970727
216,1512447
216,783857
216,1945254
216,1960718
216,1217134
216,1715370
217,1957735
217,1967378
217,1954051
218,1968769
218,1962208
218,235592
218,1954601
218,1962489
218,1969324
218,1966497
218,1966153
218,1959346
218,1955627
218,1955044
218,1960954
219,751677
220,1864943
220,1910528
220,1187950
220,1954117
220,1965596
220,1330715
221,1956805
221,1966742
221,1965616
221,1965225
222,1967932
223,1443525
223,580294
223,203022
224,1957203
224,1956008
225,1958353
226,1966155
227,832924
227,1356208
227,871584
227,1958582
228,1970160
229,1953858
229,1955317
229,1964977
230,1961732
230,1965011
230,1956652
231,1968588
231,1960273
232,1964684
232,1966394
232,1954802
232,1969896
232,1966114
232,1967379
233,1962414
233,1969086
233,1963817
233,1956305
233,1963816
233,1964519
233,1970326
233,1969350
233,1961625
233,1967227
233,1961052
233,1963558
233,1966783
234,1970042
235,981528
236,1963136
236,1963286
236,1968847
237,1960534
237,1968649
237,1957774
237,1957633
238,1961432
238,1969579
238,1953485
238,1954113
239,1960807
240,1632985
240,1968965
241,1969301
242,1955700
242,1959284
242,1970715
242,1955563
242,1964589
244,1963175
244,1954618
244,1963346
244,1958612
245,1968593
245,1954672
245,1964372
245,1964764
246,1953994
246,975525
247,1965784
247,1954141
247,1966119
248,1031607
249,1957269
250,1955092
250,1968489
250,197075
250,1963748
250,1969635
251,1960174
251,1967535
252,1955526
252,1955699
252,1956390
252,1965112
253,1966307
253,666387
254,956592
255,1944529
256,1962310
257,1963325
257,1706793
257,1745435
257,1966084
257,1976220
257,1970367
258,1958860
258,1956058
258,1961114
259,1957428
259,1968051
259,1962824
260,1967368
260,1961373
262,1959070
263,1954937
263,1963330
263,1958711
264,1962333
265,1964696
265,1968707
265,1955093
265,1962513
265,1965038
265,1960488
265,1967405
266,446652
267,1964588
268,1963826
268,1965698
268,1962436
269,1976093
270,1962772
270,1955200
271,1957736
271,1969102
271,1962950
272,1957222
272,1960590
273,1956714
273,1956976
273,1954802
273,1954664
273,1968130
273,1963924
273,1968206
275,1955161
276,1970477
276,1960019
276,1963294
278,1961813
278,81535
278,1960460
278,1969709
278,1965541
279,1963944
279,1955960
280,161473
282,1955509
282,1969268
284,1968940
285,1961386
286,1969967
286,1959002
286,1961620
287,1970552
287,1963573
287,1964312
287,1961656
288,1967981
289,1960918
290,1954616
290,1954744
290,1958984
290,1957652
290,1970532
290,1960537
290,1962887
290,1315817
290,1957854
290,1956162
290,1963534
291,1955776
291,1472549
291,1970692
291,1959947
291,78798
292,1968330
294,1533595
294,1101033
294,1963108
295,1969233
295,1963265
295,1970283
295,1963004
296,218511
296,1956623
298,1956929
298,1967722
298,1967546
298,1960467
298,1969306
300,1965588
300,1954282
301,1968550
301,1955674
301,131412
302,1965174
302,1955185
303,1969144
303,1964618
303,1963312
303,1957786
304,1962148
305,1116825
305,1955198
305,1967402
305,258370
305,439255
306,1966681
306,969590
308,1959930
308,1957129
308,1070745
308,1961878
308,1962148
310,1959390
310,1969648
311,1963084
311,1966025
312,1966281
312,1970618
312,1965743
312,1960663
312,1964061
312,1954172
312,1959641
312,1954334
312,1954519
312,1965982
312,1962056
312,1964174
312,1967197
312,1955498
313,1966535
313,1954916
313,1960600
314,1392876
314,265749
316,997778
316,1575937
317,1965419
318,1954818
319,1967714
319,1969565
320,1969644
321,1959468
321,1956842
321,1960427
322,1962125
323,1976002
324,1966253
325,1958958
325,1963487
326,1954841
326,1965125
326,1958354
327,1958602
327,1958949
327,1955191
328,1969068
328,1968438
329,1963999
329,1953932
329,1966513
329,1969505
329,1966989
329,1967777
329,1966190
329,1958490
330,1957606
330,1956874
330,844806
330,1967286
330,1970491
330,1957370
331,1440839
331,1962668
332,1959464
333,1209903
333,1612225
334,1964688
334,1964545
334,1959837
335,1967195
335,1958905
335,1969951
335,1965185
336,1970119
336,1961230
337,1969303
337,76515
337,1967922
338,327814
339,1976096
339,1957421
339,1955760
339,1958599
340,800817
340,1966320
341,1976243
341,1963858
342,1958968
343,1962063
343,1961147
344,1957173
345,1966713
345,1970290
345,1967812
347,1959393
347,1956395
349,1450169
349,1954016
349,1959441
350,1956395
351,1969498
351,1967491
351,1966904
351,1968323
352,1960040
352,1964714
352,1958235
352,1970479
353,1954913
353,1954039
353,1960547
353,1958756
354,560784
355,1966227
356,1959979
356,1969598
356,1956611
356,1954885
356,1954913
356,1962048
356,1955773
356,1962721
356,1967214
356,1962483
356,1970645
356,1956329
357,1956341
357,1961008
358,1749896
358,681532
358,1959553
358,1961700
358,1970769
358,1962679
359,1976237
359,1966392
359,1970246
359,1956438
359,1954081
359,1966850
360,1599460
361,1969319
362,1967579
363,562415
364,1953941
